172.26.32.10;NS1227F1161
172.26.33.31;NS1611S1450
172.26.33.33;NS1719S8797
172.26.33.34;NS1140F0635
172.26.33.35;NS1138F1790
172.26.33.3;
172.26.33.36;NS1647S4906
172.26.33.38;NS1133F0274
172.26.33.4;
172.26.33.166;NS1725S3032
172.26.33.41;NS1443F1469
172.26.33.2;
172.26.33.42;NS1145F0302
172.26.33.156;NS1728S4685
172.26.33.100;NS1649S0475
172.26.33.43;NS1138F0179
172.26.33.44;NS1306F0064
172.26.33.146;NS1625S0045
172.26.33.46;NS1218F0028
172.26.33.47;NS1138F1944
172.26.33.155;NS1728S4700
172.26.33.48;NS1227F0991
172.26.33.49;NS1137F0495
172.26.33.50;NS1137F1279
172.26.33.172;NS1728S4618
172.26.33.51;NS1138F0835
172.26.33.157;NS1647S4859
172.26.33.53;NS1138F1698
172.26.33.52;NS1137F0524
172.26.33.54;NS1142F0283
172.26.33.55;NS1141F0069
172.26.33.57;NS1138F0606
172.26.33.59;NS1145F0408
172.26.33.6;NS1132F0901
172.26.33.62;NS1132F1403
172.26.33.60;NS1141F0573
172.26.33.65;NS1216F1469
172.26.33.67;NS1140F0599
172.26.33.167;NS1730F1439
172.26.33.69;NS1137F0966
172.26.33.70;NS1140F0584
172.26.33.71;NS1216F1562
172.26.33.72;NS1138F0622
172.26.33.73;NS1138F0583
172.26.33.76;NS1138F1961
172.26.33.77;NS1326F0756
172.26.33.152;NS1647S4624
172.26.33.79;NS1141F0918
172.26.33.8;NS1138F0174
172.26.33.80;NS1141F0928
172.26.33.82;NS1146F1246
172.26.33.83;NS1140F0334
172.26.33.84;NS1140F0479
172.26.33.85;NS1140F0511
172.26.33.86;NS1443F1408
172.26.33.87;NS1403F0620
172.26.33.88;NS1545S1321
172.26.33.89;NS1138F0557
172.26.33.9;NS1728S4686
172.26.33.90;NS1145F0388
172.26.33.91;NS1138F1919
172.26.33.160;NS1649S0447
172.26.33.94;NS1218F0294
172.26.33.98;NS1138F1644
172.26.34.100;NS1545S1210
172.26.34.101;NS1546SA160
172.26.34.11;NS1145F0324
172.26.34.12;NS1138F1824
172.26.34.13;NS1138F1821
172.26.34.14;NS1138F1800
172.26.34.15;NS1137F0424
172.26.34.16;NS1138F0155
172.26.34.17;NS1138F1684
172.26.34.173;NS1612F2435
172.26.34.174;NS1328F0827
172.26.34.176;NS1525F1766
172.26.34.178;NS1524F0674
172.26.34.179;NS1545S1223
172.26.34.89;NS1624S1526
172.26.34.181;NS1443F1357
172.26.34.184;NS131961306
172.26.34.18;NS1141F0310
172.26.34.182;NS1215F0544
172.26.34.183;NS1317F0891
172.26.34.185;NS1217F1101
172.26.34.186;NS1328F1090
172.26.34.187;NS1317F0209
172.26.34.188;NS1216F0893
172.26.34.189;NS1215F0851
172.26.34.19;NS1141F0022
172.26.34.109;NS1138F0864
172.26.34.190;NS1328F1186
172.26.34.191;NS1216F1807
172.26.34.110;NS1216F1886
172.26.34.193;NS1332F1522
172.26.34.194;NS1332F1564
172.26.34.196;NS1216F1681
172.26.34.197;NS1217F1879
172.26.34.198;NS1216F1509
172.26.34.199;NS1133F0549
172.26.34.201;LL113013638
172.26.34.205;NS1648F1377
172.26.34.20;NS1138F1806
172.26.34.1;
172.26.34.200;LL100717474
172.26.34.202;NS1140F0375
172.26.34.206;NS1143F1765
172.26.34.207;LL100717236
172.26.34.208;NS1141F0081
172.26.34.209;NS1138F1762
172.26.34.21;NS1641S1420
172.26.34.219;NS1802S1371
172.26.34.210;NS1138F1807
172.26.34.118;NS1725S2980
172.26.34.108;NS1629S1546
172.26.34.211;NS1138F1683
172.26.34.172;NS1227F1257
172.26.34.212;NS1139F0090
172.26.34.220;NS102765524
172.26.34.213;NS1140F1386
172.26.34.107;NS1719S8228
172.26.34.22;NS1138F1905
172.26.34.221;LL093211935
172.26.34.223;NS1216F1621
172.26.34.224;NS1217F0500
172.26.34.225;NS1332F1449
172.26.34.226;NS1216F1421
172.26.34.230;NS143667021
172.26.34.227;NS1217F0657
172.26.34.222;NS1749S2562
172.26.34.228;NS1217F0599
172.26.34.229;NS1332F1328
172.26.34.23;NS1136F1067
172.26.34.234;NS143567530
172.26.34.232;NS1231F2359
172.26.34.106;NS1719S8212
172.26.34.231;NS1138F0445
172.26.34.121;NS1712S3556
172.26.34.233;NS1248F1054
172.26.34.170;NS1641S1377
172.26.34.235;NS1217F0525
172.26.34.180;NS1217F1312
172.26.34.171;NS1643S7230
172.26.34.236;NS1307F0588
172.26.34.238;NS1214F0664
172.26.34.239;NS1214F1118
172.26.34.123;NS1749S2522
172.26.34.24;NS1227F1175
172.26.34.240;NS1214F1185
172.26.34.119;NS1728F1189
172.26.34.241;NS1216F1505
172.26.34.242;NS1218F0365
172.26.34.243;NS1728S4698
172.26.34.244;NS1217F1311
172.26.34.245;NS1217F0487
172.26.34.246;NS1216F1855
172.26.34.124;NS1749S2510
172.26.34.247;NS1216F0874
172.26.34.248;NS1217F0507
172.26.34.249;NS1213F1258
172.26.34.250;NS1214F1202
172.26.34.25;NS1138F1956
172.26.34.251;NS1317F0703
172.26.34.252;NS1248F1246
172.26.34.253;NS1215F1519
172.26.34.104;NS1719S7453
172.26.34.254;NS1241F1125
172.26.34.105;NS1719S8130
172.26.34.27;NS1138F1777
172.26.34.28;NS1138F1884
172.26.34.26;NS1641S1461
172.26.34.29;NS1712S3578
172.26.34.30;NS1137F0407
172.26.34.3;
172.26.34.84;NS1619S3037
172.26.34.31;NS1227F1049
172.26.34.32;NS1138F1643
172.26.34.33;NS1722S4754
172.26.34.34;NS1332F1750
172.26.34.35;NS1716S4028
172.26.34.36;NS1143F2049
172.26.34.91;NS1649S0741
172.26.34.90;NS1647S4586
172.26.34.37;NS1146F1109
172.26.34.4;
172.26.34.120;LL093212027
172.26.34.93;NS1648F0849
172.26.34.40;NS1138F1724
172.26.34.41;NS1138F0831
172.26.34.102;NS1647S4517
172.26.34.42;NS1146F1065
172.26.34.43;NS1138F1950
172.26.34.44;NS1138F1809
172.26.34.45;NS1138F1722
172.26.34.46;NS1138F0146
172.26.34.47;NS1138F1750
172.26.34.92;NS1649S0761
172.26.34.83;NS1624S1690
172.26.34.48;NS1141F1336
172.26.34.49;NS1227F1235
172.26.34.50;NS1138F1883
172.26.34.51;NS1138F1996
172.26.34.53;NS1216F1498
172.26.34.54;NS1138F1958
172.26.34.55;NS1138F1191
172.26.34.57;NS1138F1819
172.26.34.59;NS1138F0042
172.26.34.60;NS1141F0074
172.26.34.61;NS1141F0327
172.26.34.103;NS1647S4477
172.26.34.62;NS1140F1391
172.26.34.63;NS1138F1903
172.26.34.64;NS1138F1910
172.26.34.65;NS1214F0863
172.26.34.66;NS1138F1516
172.26.34.67;NS1214F0820
172.26.34.68;NS1138F1902
172.26.34.69;NS1140F1387
172.26.34.71;NS1140F0578
172.26.34.72;NS1749S2538
172.26.34.73;NS1139F0033
172.26.34.74;NS1138F1081
172.26.34.75;NS1214F0519
172.26.34.76;NS1328F1057
172.26.34.77;NS1332F1695
172.26.34.78;NS1442F0368
172.26.34.79;NS1443F1045
172.26.34.80;NS1443F0989
172.26.34.81;NS1543S3666
172.26.34.82;NS1545S1171
172.26.34.86;NS1545S1230
172.26.34.87;NS1545S1045
172.26.34.88;NS1546SA129
172.26.34.94;NS1326F1098
172.26.34.95;NS1139F1666
172.26.34.96;NS1217F0564
172.26.35.11;NS1544F1259
172.26.34.98;NS1349F1356
172.26.34.99;NS1217F0111
172.26.35.10;NS1146F0809
172.26.35.114;NS1314F0266
172.26.35.115;NS1137F0687
172.26.35.118;LL133524854
172.26.35.116;NS1213F1524
172.26.34.97;NS1216F0867
172.26.35.119;NS1332F1520
172.26.35.117;NS1525F1098
172.26.35.12;NS1215F0841
172.26.35.1;
172.26.35.123;LL093612410
172.26.35.120;NS1214F0042
172.26.35.121;NS1217F0144
172.26.35.124;NS1527S2497
172.26.35.122;NS1216F1517
172.26.34.111;NS1649S0341
172.26.34.116;NS1647S4843
172.26.35.226;NS1736S0209
172.26.35.139;NS1649S0791
172.26.35.101;NS1213F0347
172.26.35.136;NS1647S4894
172.26.35.87;NS1736S0188
172.26.35.94;NS1728S4690
172.26.35.138;NS1332F1792
172.26.35.130;NS1619S3159
172.26.35.89;NS1719S7469
172.26.35.88;NS1649S0790
172.26.35.17;NS143666968
172.26.35.15;LL100616641
172.26.35.128;NS1546SA216
172.26.35.127;NS1719S7496
172.26.35.14;NS1142F0517
172.26.35.19;LL100717354
172.26.35.18;NS1649S0725
172.26.35.199;NS1216F0975
172.26.35.201;NS112164090
172.26.35.200;LL100717444
172.26.35.20;NS1648F0850
172.26.35.203;LL113013674
172.26.35.205;NS143567282
172.26.35.140;NS1625S0111
172.26.35.202;NS1214F0474
172.26.35.206;LL113013681
172.26.35.21;NS1544F1456
172.26.35.2;
172.26.35.208;NS1227F0600
172.26.35.79;NS1641S1372
172.26.35.209;NS1140F0383
172.26.35.210;NS1140F0575
172.26.35.219;NS1649S0497
172.26.35.213;NS1218F0017
172.26.35.214;NS1213F0527
172.26.35.215;NS1443F0967
172.26.35.218;NS1217F0133
172.26.35.22;NS1716S4039
172.26.35.221;NS1443F0574
172.26.35.222;NS1442F1846
172.26.35.224;NS1227F0088
172.26.35.26;LL100717475
172.26.35.223;NS1442F1835
172.26.35.23;NS1145F0454
172.26.35.27;LL100717036
172.26.35.25;NS1227F1239
172.26.35.24;NS1722S4784
172.26.35.28;NS1719S8232
172.26.35.31;LL100717380
172.26.35.30;LL100717409
172.26.35.29;NS1739S2487
172.26.35.34;LL100716954
172.26.35.92;NS1728S4701
172.26.35.33;NS1716S4031
172.26.35.9;NS1649S0729
172.26.35.36;NS1140F1761
172.26.35.35;NS1227F1551
172.26.35.3;
172.26.35.37;NS1139F2020
172.26.35.85;NS1649S0466
172.26.35.133;NS133168348
172.26.35.39;NS1216F0989
172.26.35.38;NS1140F1754
172.26.35.81;NS1647S4613
172.26.35.40;NS1132F0927
172.26.35.129;NS1619S3199
172.26.35.42;NS1145F0321
172.26.35.4;
172.26.35.43;NS1139F1970
172.26.35.131;NS1619S3063
172.26.35.44;NS1140F1739
172.26.35.227;NS1728S4692
172.26.35.50;NS1649S0531
172.26.35.45;NS1326F0968
172.26.35.132;NS1725S3011
172.26.35.5;NS1649S0796
172.26.35.86;NS1652S1390
172.26.35.46;NS1524F0442
172.26.35.53;NS1217F0137
172.26.35.102;NS1712S3574
172.26.35.52;NS1137F0289
172.26.35.93;NS1332F1659
172.26.35.54;NS1329F0187
172.26.35.143;NS1649S0460
172.26.35.100;NS1719S7526
172.26.35.55;NS1516S0759
172.26.35.137;NS1728S4660
172.26.35.77;NS1216F1520
172.26.35.56;NS1442F1710
172.26.35.57;NS1443F1100
172.26.35.58;NS1442F1754
172.26.35.135;NS1625S0008
172.26.35.59;NS1524F0419
172.26.35.82;NS1643S7025
172.26.35.6;NS1216F1635
172.26.35.70;NS1332F1280
172.26.35.60;NS1619S3171
172.26.35.61;NS1216F1653
172.26.35.62;NS1543S3701
172.26.35.80;NS1643S7354
172.26.35.64;NS1545S1203
172.26.35.63;NS1543S3664
172.26.35.65;NS1543S3691
172.26.35.66;NS1545S1241
172.26.35.134;NS1649S0490
172.26.35.67;NS1546SA139
172.26.35.68;NS1543S3749
172.26.35.69;NS1545S1220
172.26.35.7;NS1227F1169
172.26.35.71;NS1543S3721
172.26.35.225;NS1228C2376
172.26.35.73;NS1546SA185
172.26.35.74;NS1611S1423
172.26.35.76;NS1612F2451
172.26.35.8;NS1719S7533
172.26.35.83;NS1611S1522
172.26.36.10;NS1629S1508
172.26.36.11;NS1140F0740
172.26.36.116;NS1619S3029
172.26.36.12;NS1628S2192
172.26.36.126;NS1214F0045
172.26.36.127;NS1215F0032
172.26.36.13;NS1137F0571
172.26.36.147;NS1137F0381
172.26.36.14;NS1137F0543
172.26.36.149;NS1317F0232
172.26.36.150;NS1215F1440
172.26.36.15;NS1138F1707
172.26.36.151;NS1232F0508
172.26.36.152;NS1326F1216
172.26.36.153;NS1329F0069
172.26.36.154;NS1141F1343
172.26.36.221;NS1728F1235
172.26.36.157;NS1333F0068
172.26.36.156;NS1217F0527
172.26.36.158;NS1217F1949
172.26.36.159;NS1311F0610
172.26.36.16;NS1308F0714
172.26.36.160;NS1140F0477
172.26.36.162;NS1317F0438
172.26.36.161;NS1314F0300
172.26.36.164;LL113013558
172.26.36.165;NS1217F0586
172.26.36.166;NS1216F1522
172.26.36.93;NS1641S1337
172.26.36.167;NS1217F0475
172.26.36.168;NS1216F1743
172.26.36.169;NS1214F0661
172.26.36.17;NS1801S1779
172.26.36.170;NS1140F0507
172.26.36.171;NS1328F1027
172.26.36.172;NS1326F1301
172.26.36.176;NS1137F1794
172.26.36.173;NS1332F1566
172.26.36.100;NS1719S8149
172.26.36.177;NS1332F1739
172.26.36.18;NS1442F1827
172.26.36.192;NS1217F0650
172.26.36.193;NS1217F1269
172.26.36.19;NS1137F0573
172.26.36.194;NS1317F0286
172.26.36.195;NS1332F1696
172.26.36.196;NS1443F0755
172.26.36.89;NS1625S0044
172.26.36.208;NS1308F0519
172.26.36.20;NS1146F0974
172.26.36.209;NS1326F0958
172.26.36.21;NS1141F0791
172.26.36.211;NS1308F0001
172.26.36.210;NS1312F0299
172.26.36.212;NS1217F1998
172.26.36.92;NS1641S1370
172.26.36.217;LL113013648
172.26.36.214;NS1311F0485
172.26.36.215;NS1218F0318
172.26.36.213;NS1140F1366
172.26.36.218;NS1139F2032
172.26.36.219;NS1214F0850
172.26.36.22;NS1137F0466
172.26.36.220;NS1443F1057
172.26.36.222;NS1442F1845
172.26.36.224;NS1216F1494
172.26.36.226;NS1314F0520
172.26.36.227;NS1308F0829
172.26.36.228;NS1232F0021
172.26.36.223;NS1647S4836
172.26.36.229;NS1231F2450
172.26.36.23;NS1137F0465
172.26.36.230;NS1332F1296
172.26.36.231;NS1307F0703
172.26.36.233;NS1145F0447
172.26.36.24;NS1332F1753
172.26.36.245;NS1541S0340
172.26.36.246;NS1442F1303
172.26.36.247;NS1332F1312
172.26.36.248;NS1317F0686
172.26.36.250;NS1248F1206
172.26.36.251;NS1332F1658
172.26.36.252;NS1217F0581
172.26.36.254;NS1248F0996
172.26.36.253;NS1216F1511
172.26.36.27;NS1722S4782
172.26.36.28;NS1137F0563
172.26.36.29;NS1137F0485
172.26.36.3;
172.26.36.30;NS1136F0801
172.26.36.32;NS1138F1776
172.26.36.31;NS1749S2551
172.26.36.33;NS1137F0706
172.26.36.34;NS1140F1743
172.26.36.35;NS1749S2546
172.26.36.244;NS1619S3036
172.26.36.37;NS1716S4009
172.26.36.101;NS1719S8102
172.26.36.36;NS1716S4014
172.26.36.90;NS1608S1849
172.26.36.128;NS1728S4734
172.26.36.39;NS1145F0453
172.26.36.86;NS1621S4543
172.26.36.38;NS1141F0997
172.26.36.198;NS1707S2720
172.26.36.4;
172.26.36.40;NS1132F1402
172.26.36.41;NS1138F1798
172.26.36.42;NS1137F0765
172.26.36.43;NS1138F1822
172.26.36.44;NS1712S3628
172.26.36.45;NS1225F1551
172.26.36.46;NS1138F1827
172.26.36.88;NS1624S1649
172.26.36.97;NS1516S0855
172.26.36.47;NS1138F1551
172.26.36.95;NS1647S4860
172.26.36.48;NS1443F1043
172.26.36.94;NS1643S7024
172.26.36.87;NS1619S3068
172.26.36.49;NS1619S3007
172.26.36.91;NS1641S1351
172.26.36.105;NS1728S4682
172.26.36.5;NS1137F0338
172.26.36.59;NS1712S3627
172.26.36.6;NS1712S3635
172.26.36.98;NS1712S3571
172.26.36.61;NS1138F1326
172.26.36.62;NS1719S7411
172.26.36.63;NS1137F0488
172.26.36.65;NS1307F0554
172.26.36.66;NS1314F0544
172.26.36.67;NS1317F0706
172.26.36.68;NS1232F0062
172.26.36.7;NS1137F0564
172.26.36.70;NS1326F1113
172.26.36.73;NS1442F1852
172.26.36.72;NS1443F1465
172.26.36.74;NS1442F1855
172.26.36.75;NS1442F1853
172.26.36.76;NS1139F0001
172.26.36.77;NS1524F0582
172.26.36.78;NS1524F0585
172.26.36.79;NS1541S0358
172.26.36.80;NS1541S0266
172.26.36.8;NS1137F0314
172.26.36.81;NS1546SA140
172.26.36.82;NS1543S3711
172.26.36.83;NS1137F0352
172.26.36.84;NS1328F1016
172.26.36.85;NS1621S4522
172.26.36.9;NS1138F0217
172.26.37.10;NS1140F0427
172.26.37.11;NS1138F1773
172.26.37.12;NS1145F0468
172.26.37.123;NS1611S1538
172.26.37.125;NS1619S3078
172.26.37.126;NS1216F1894
172.26.37.127;NS1140F1390
172.26.37.13;NS1139F1756
172.26.37.187;NS1629S0574
172.26.37.14;NS1543S3608
172.26.37.15;NS1141F0088
172.26.37.16;NS1227F0599
172.26.37.17;NS1137F0397
172.26.37.18;NS1141F0042
172.26.37.190;LL133524850
172.26.37.189;NS1217F1432
172.26.37.19;NS1140F2111
172.26.37.191;NS1716S4017
172.26.37.20;NS1227F1153
172.26.37.21;NS1140F0338
172.26.37.22;NS1141F0092
172.26.37.23;NS1141F0077
172.26.35.141;NS1611S1478
172.26.37.24;NS1141F0078
172.26.37.25;NS1145F0305
172.26.37.2;
172.26.37.26;NS1143F1551
172.26.37.27;NS1141F0009
172.26.37.28;NS1139F1501
172.26.37.29;NS1216F0396
172.26.37.30;NS1140F1024
172.26.37.31;NS1141F0770
172.26.37.32;NS1423F1223
172.26.37.34;NS1139F1693
172.26.37.35;NS1139F0101
172.26.37.3;
172.26.37.36;NS1141F1354
172.26.37.37;NS1137F0979
172.26.37.38;NS1227F1142
172.26.37.39;NS1140F0514
172.26.37.80;NS1544F0940
172.26.37.97;NS1546SA145
172.26.35.78;NS1543S3713
172.26.37.40;NS1227F1571
172.26.37.4;
172.26.37.101;NS1624S1672
172.26.37.41;NS1145F0464
172.26.37.102;NS1649S0488
172.26.37.111;NS1712S3570
172.26.37.45;NS1140F0622
172.26.37.113;NS1749S2528
172.26.37.43;NS1728S4708
172.26.37.46;NS1141F0794
172.26.37.47;NS1140F0629
172.26.37.48;NS1141F0016
172.26.37.49;NS1140F0494
172.26.37.112;NS1719S7410
172.26.37.5;NS1141F0773
172.26.37.114;NS1722S4779
172.26.37.109;NS1749S2484
172.26.37.50;NS1145F0306
172.26.37.51;NS1140F0496
172.26.37.52;NS1140F0417
172.26.37.100;NS1326F0841
172.26.37.105;NS1649S0754
172.26.37.53;NS1141F0622
172.26.37.85;NS1724S3500
172.26.37.54;NS1141F0216
172.26.37.55;NS1227F1170
172.26.37.6;NS1225F1209
172.26.37.56;NS1140F0405
172.26.37.61;NS1218F0299
172.26.37.62;NS1217F0484
172.26.37.63;NS1140F1574
172.26.37.64;NS1222F1129
172.26.37.65;NS1215F0812
172.26.37.66;NS1217F0596
172.26.37.106;NS1641S1395
172.26.37.110;NS1652S1366
172.26.37.67;NS1326F0929
172.26.37.68;NS1332F1699
172.26.37.69;NS1332F1718
172.26.37.7;NS1719S7476
172.26.37.70;NS1443F1067
172.26.37.71;NS1317F0268
172.26.37.116;NS1749S2535
172.26.37.72;NS1443F0609
172.26.37.73;NS1443F1467
172.26.37.74;NS1443F1054
172.26.37.75;NS1311F0464
172.26.37.76;NS1333F0085
172.26.37.107;NS1647S4845
172.26.37.108;NS1216F1518
172.26.37.78;NS1442F1836
172.26.37.79;NS1443F0696
172.26.37.81;NS1443F1024
172.26.37.8;NS1218F0022
172.26.37.82;NS1402F1028
172.26.37.83;NS1524F0638
172.26.37.84;NS1137F0342
172.26.37.86;NS1543S3718
172.26.37.87;NS1545S1193
172.26.37.88;NS1626S2050
172.26.37.90;NS1619S3038
172.26.37.89;NS1543S3717
172.26.37.9;NS1137F0523
172.26.37.92;NS1545S1166
172.26.37.91;NS1217F1413
172.26.37.93;NS1424C2449
172.26.37.94;NS1543S3710
172.26.37.104;NS1643S7035
172.26.37.103;NS1546SA241
172.26.37.96;NS1546SA171
172.26.37.98;NS1611S1537
172.26.38.5;NS1142F0505
172.26.38.6;NS1143F1591
172.26.38.7;NS1137F0353
172.26.39.100;NS1136F0944
172.26.39.10;NS1141F0083
172.26.39.101;NS1443F0960
172.26.39.102;NS1442F1851
172.26.39.103;NS1442F1837
172.26.39.104;NS1401F0870
172.26.39.105;NS1546SA257
172.26.39.106;NS1546SA266
172.26.39.107;NS1649S0471
172.26.39.109;NS1611S1501
172.26.39.108;NS1545S1189
172.26.39.11;NS1141F1519
172.26.39.110;NS1225F1052
172.26.39.1;
172.26.39.111;NS1543S3751
172.26.39.112;NS1611S1542
172.26.39.113;NS1546SA274
172.26.39.114;NS1612F2374
172.26.39.115;NS1612F2403
172.26.39.118;NS1611S1545
172.26.39.120;NS1546S0304
172.26.39.119;NS1138F1825
172.26.39.12;NS1132F0717
172.26.39.209;NS1712S3553
172.26.39.121;NS1326F0722
172.26.39.123;NS1546SA205
172.26.39.124;NS1545S1219
172.26.39.125;NS1225F1585
172.26.39.33;NS1728S4729
172.26.39.127;NS1232F0008
172.26.39.34;NS1728S4601
172.26.39.126;NS1524F0451
172.26.39.129;NS1333F0075
172.26.39.128;NS1332F1618
172.26.39.13;NS1140F0260
172.26.39.130;NS1336F0133
172.26.39.132;NS1217F1649
172.26.39.131;NS1216F1405
172.26.39.133;NS1217F0566
172.26.39.138;NS1629S0584
172.26.39.134;NS1314F0011
172.26.39.135;NS1217F0480
172.26.39.137;NS1217F0680
172.26.39.136;NS1216F1746
172.26.39.139;NS1234F0013
172.26.39.141;NS1314F0665
172.26.39.144;LL113013515
172.26.39.189;NS1728S4694
172.26.39.142;NS1217F0503
172.26.39.49;NS1728S4626
172.26.39.145;LL113013645
172.26.39.143;LL113013899
172.26.39.146;NS1214F1177
172.26.39.148;NS1216F1427
172.26.39.147;NS1216F1497
172.26.39.15;NS1333F0069
172.26.39.248;NS1227F1237
172.26.39.151;NS1308F0813
172.26.39.152;NS1217F2002
172.26.39.85;NS1217F0504
172.26.39.180;NS1719S8179
172.26.39.153;NS1217F1489
172.26.36.117;NS1728S4668
172.26.39.140;NS1649S0445
172.26.39.196;NS1216F1486
172.26.39.154;NS1217F0649
172.26.39.211;NS1719S7553
172.26.39.155;NS1232F0019
172.26.39.156;NS1308F0828
172.26.39.157;NS1217F1964
172.26.39.158;LL131919869
172.26.39.159;NS1217F1653
172.26.39.16;NS1145F0526
172.26.39.116;NS1619S3174
172.26.39.163;NS1736S0216
172.26.39.160;NS1216F0879
172.26.39.161;NS1248F1047
